$ python3 docs/native/N3-PR5-anexos/instrumentos/g5g6-palco.py docs/native/N3-PR5-anexos/dumps-pai docs/native/N3-PR5-anexos/dumps-ret
G5/G6 — palco, S5, S4, S0, picker e S2p, quatro colunas: tab pai · tab ret · avd pai · avd ret

## S0-erro
  (sem dump: tab pai, tab ret)
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `email` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |
  | `entrar` | — | — | 420.0 × 56.0 | 420.0 × 56.0 |
  | `senha` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |

## S0-login
  (sem dump: tab pai, tab ret)
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `campo-busca` | 960.0 × 48.0 | 533.3 × 48.0 | 960.0 × 48.0 | 533.3 × 48.0 |
  | `fechar-busca` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |

## S5-fim
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `borda-voltar` | 170.7 × 479.1 | 106.7 × 905.8 | 170.7 × 467.1 | 106.7 × 893.8 |
  | `sair` | 118.7 × 64.0 | 118.7 × 64.0 | 118.7 × 64.0 | 118.7 × 64.0 |
  | `voltar-inicio` | 227.1 × 64.0 | 227.1 × 64.0 | 227.1 × 64.0 | 227.1 × 64.0 |

## picker-relendo
  G5 · tab pai: picker-adicionar-5 136.0 × 44.9 — cortado pela rolagem (div. 291), não reprova
  G5 · avd pai: picker-adicionar-5 136.0 × 32.9 — cortado pela rolagem (div. 291), não reprova
  G5 · avd ret: picker-adicionar-9 136.0 × 41.8 — cortado pela rolagem (div. 291), não reprova
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `apagar` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |
  | `fechar-busca` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |
  | `picker-adicionar-<n>` | 136.0 × 48.0 ×3 · 136.0 × 44.9 | 136.0 × 48.0 ×8 | 136.0 × 48.0 ×3 · 136.0 × 32.9 | 136.0 × 48.0 ×7 · 136.0 × 41.8 |
  | `picker-campo` | 900.0 × 48.0 | 473.3 × 48.0 | 900.0 × 48.0 | 473.3 × 48.0 |
  | `picker-concluir` | 108.4 × 48.0 | 108.9 × 48.0 | 108.4 × 48.0 | 108.9 × 48.0 |

## picker-resultados
  G5 · tab pai: picker-adicionar-5 136.0 × 44.9 — cortado pela rolagem (div. 291), não reprova
  G5 · avd pai: picker-adicionar-5 136.0 × 32.9 — cortado pela rolagem (div. 291), não reprova
  G5 · avd ret: picker-adicionar-9 136.0 × 41.8 — cortado pela rolagem (div. 291), não reprova
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `apagar` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |
  | `fechar-busca` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |
  | `picker-adicionar-<n>` | 136.0 × 48.0 ×4 · 136.0 × 44.9 | 136.0 × 48.0 ×9 | 136.0 × 48.0 ×4 · 136.0 × 32.9 | 136.0 × 48.0 ×8 · 136.0 × 41.8 |
  | `picker-campo` | 900.0 × 48.0 | 473.3 × 48.0 | 900.0 × 48.0 | 473.3 × 48.0 |
  | `picker-concluir` | 108.4 × 48.0 | 108.9 × 48.0 | 108.4 × 48.0 | 108.9 × 48.0 |

## picker-vazio
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `fechar-busca` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |
  | `picker-campo` | 960.0 × 48.0 | 533.3 × 48.0 | 960.0 × 48.0 | 533.3 × 48.0 |
  | `picker-concluir` | 108.4 × 48.0 | 108.9 × 48.0 | 108.4 × 48.0 | 108.9 × 48.0 |

G5: todo alvo ≥ 48 dp ✓ · G6: todo alvo com testID ✓
exit=0
